KCl_IDE_3-2,153.7343,188.81,205.8428,212.6375,215.0874,216.1983,217.2743,218.7747,220.8789,223.5703,226.9758,230.7503,235.4324,241.1111,247.8864,255.7364,264.7511,274.8893,286.7039,300.3558,316.5413,336.2982,360.8379,391.6453,431.7765,484.7277,555.0128,657.5065,803.9185,1013.972,1311.203
KCl_IDE_3-3,153.9422,189.0816,206.1712,213.1015,215.6333,216.8535,218.03,219.652,221.8935,224.8367,228.4863,232.9268,238.2207,244.5006,251.6796,259.9065,269.1769,279.5209,291.2074,304.603,320.303,339.5544,363.5723,394.1112,433.9944,486.5379,556.8637,659.5712,806.2776,1016.618,1318.359
KCl_IDE_3-4,154.2759,189.6452,206.866,213.9112,216.471,217.8228,219.0661,220.7345,223.127,226.1612,230.0555,234.7014,240.2848,246.7234,254.1428,262.5503,272.0012,282.4494,294.1567,307.4538,322.9499,341.8716,365.5792,395.8421,435.3341,488.0602,557.7725,660.0211,805.0546,1015.985,1315.021
KCl_IDE_3-5,154.3824,189.8803,207.2325,214.2867,216.9938,218.3532,219.6616,221.478,223.9497,227.1739,231.1936,236.0698,241.7523,248.4205,255.9978,264.5468,274.1362,284.6359,296.4164,309.759,325.1427,343.9421,367.3588,397.3564,436.8649,488.989,558.8583,660.8661,805.8132,1015.727,1314.676
KCl_IDE_4-1,132.9253,138.1192,139.6997,139.8464,139.771,139.9543,140.4957,141.5444,143.3645,145.7569,148.8272,152.5878,157.254,163.0183,170.0569,178.563,188.6284,200.6928,215.9604,233.3988,254.3723,279.7178,310.2737,347.1001,392.1045,449.0018,520.7205,617.7153,748.1857,930.6193,1177.119
KCl_IDE_4-2,134.9803,140.3449,142.026,142.2205,142.148,142.4375,143.0013,144.2586,146.428,149.4862,153.5807,158.8214,165.4201,173.4485,182.8811,193.6302,205.6961,219.0752,234.3775,251.5325,271.4837,295.325,324.1792,359.4574,403.8307,459.8651,530.9058,629.298,762.7306,947.5781,1196.985
KCl_IDE_4-3,134.9764,140.3601,142.0923,142.2614,142.2902,142.5622,143.1585,144.5097,146.7777,148.6215,152.8324,158.3872,165.365,173.8758,183.5935,195.018,207.7486,221.6449,237.2324,254.5222,274.443,298.1559,326.9525,362.3341,406.623,463.6591,535.2449,634.017,767.0853,952.9625,1209.844
KCl_IDE_4-4,133.1427,138.2437,139.8276,140.0095,140.0131,140.3559,141.0618,142.4794,144.8643,147.8275,152.189,157.9392,165.1935,173.9921,184.3791,196.1958,209.3087,223.5727,239.3896,256.8214,276.6837,300.3083,329.0922,364.6731,409.7747,467.3961,540.5376,637.5906,771.0226,955.8596,1206.445
KCl_IDE_4-5,132.3225,137.3448,138.9127,139.1014,139.1619,139.5211,140.2251,141.7166,144.1724,147.6246,152.2719,158.2395,165.751,174.8591,185.5452,197.7254,211.2206,225.8567,241.948,259.5652,279.5435,303.3232,332.1718,367.9107,413.2729,471.4841,544.9754,645.0436,776.9359,961.6309,1212.435
NaCl_IDE_1-1,216.4059,317.7698,393.8987,439.7599,462.928,476.6915,488.3208,502.3716,522.2148,549.0007,581.9024,617.7478,652.9954,685.9617,717.0208,747.951,780.762,817.7203,861.4948,914.8204,979.6778,1056.846,1146.882,1250.054,1373.838,1519.09,1732.346,2029.853,2456.008,2975.233,3929.682
NaCl_IDE_1-2,216.5437,318.3033,394.8227,440.8682,463.9805,477.6011,488.8213,502.7623,522.6632,549.6095,582.5953,618.4078,653.2311,685.0168,714.2628,742.1323,770.6453,801.5198,836.7728,879.2296,930.5262,992.7176,1069.129,1162.653,1280.187,1432.193,1628.632,1919.916,2328.663,2834.546,3739.023
NaCl_IDE_1-3,216.7301,318.2774,394.5578,440.3193,463.252,476.6138,487.7255,501.668,521.3123,548.0195,580.4492,615.6544,649.8798,681.0222,709.3428,735.9701,762.7707,791.684,824.5043,863.8557,911.1842,968.5935,1039.402,1126.896,1238.995,1384.183,1559.234,1853.727,2248.089,2743.286,3575.343
NaCl_IDE_1-4,216.7533,318.2446,394.5573,440.1403,463.0987,476.4734,487.7655,501.4925,521.0233,547.2722,579.3337,613.7603,647.1634,677.6396,704.9922,730.6604,756.3186,783.8844,815.1832,852.626,897.5604,952.4311,1019.278,1102.295,1207.33,1346.766,1530.975,1804.169,2174.225,2711.891,3509.803
NaCl_IDE_1-5,217.5211,318.996,395.0329,440.6063,463.5197,476.819,487.9829,501.6417,520.9142,546.7425,578.1979,611.9453,644.7977,674.5798,701.3146,726.3034,751.1133,777.7679,808.024,844.1108,887.2817,940.0094,1004.393,1084.237,1185.538,1320.129,1497.635,1763.989,2129.039,2660.513,3435.457
NaCl_IDE_2-1,215.0773,308.0609,381.8956,430.3944,458.3739,475.1071,486.0538,494.6371,502.8028,511.8092,522.4645,536.2721,554.4662,577.5908,606.1715,640.5194,682.1699,732.5593,793.7069,865.5914,950.347,1049.855,1167.412,1307.243,1475.133,1674.578,1928.377,2246.103,2622.691,3075.976,3619.145
NaCl_IDE_2-2,214.651,307.5974,380.9827,428.9185,456.6682,473.0662,483.8998,492.4712,500.6982,509.6045,520.3627,534.2184,552.3926,575.4268,603.5637,637.1785,677.1423,724.8945,781.6176,848.1339,925.9039,1017.564,1126.181,1256.498,1415.206,1611.501,1853.687,2163.804,2537.771,2993.273,3537.694
NaCl_IDE_2-3,214.5562,307.1844,380.1503,427.7831,455.2449,471.6668,482.622,491.1277,499.3314,508.1894,518.3738,531.0222,548.2037,570.5335,598.2196,631.4742,671.2415,718.9066,776.0185,842.6363,921.048,1013.3,1120.542,1247.068,1401.565,1594.181,1829.491,2129.528,2502.494,2954.481,3496.459
NaCl_IDE_2-4,214.4446,306.8674,379.6142,427.0472,454.5384,470.8829,482.0485,490.5939,498.705,507.5514,518.1235,531.7385,549.6689,572.3885,600.071,632.9127,671.819,718.066,772.8062,836.4959,910.6218,997.9553,1101.187,1225.525,1377.378,1567.046,1800.591,2100.225,2470.943,2902.616,3473.74
NaCl_IDE_2-5,214.5006,307.1031,380.0795,427.7495,455.2364,471.7622,482.6472,491.1142,499.182,507.9914,518.4809,531.9739,549.8264,572.3996,599.875,632.3026,670.7218,716.2485,770.1613,832.7131,905.6395,991.1873,1092.754,1215.19,1364.701,1550.605,1782.657,2079.463,2444.863,2886.853,3419.386
NaCl_IDE_3-1,177.4665,350.5807,467.338,546.6403,587.3748,605.8638,614.3502,619.448,623.9504,628.6528,634.2545,640.8434,648.7517,658.3739,669.6593,682.978,698.6177,716.8895,738.7164,765.0903,796.9067,835.2407,881.5005,937.9475,1008.925,1098.8,1218.059,1402.243,1656.076,2048.354,2624.173
NaCl_IDE_3-2,176.776,351.1338,469.8611,551.1395,592.9204,611.9867,620.6484,625.6545,629.8865,634.4168,639.4174,645.4396,652.6193,661.0373,670.7509,681.7677,694.5569,709.5297,727.2309,749.2809,776.3455,810.2952,852.1545,904.5113,971.3064,1058.713,1178.355,1360.064,1601.679,1981.845,2547.712
NaCl_IDE_3-3,176.2811,350.671,469.7971,551.62,593.826,612.9221,621.5959,626.5342,630.6524,634.9329,639.9056,645.5537,652.3229,660.1283,669.1763,679.5005,691.4459,705.3236,721.953,742.3149,767.5045,799.0293,839.3947,890.0281,955.455,1040.486,1159.193,1339.736,1574.087,1941.144,2496.89
NaCl_IDE_3-4,176.5764,350.9643,470.486,552.5806,594.981,614.1958,622.8785,627.9008,631.9345,636.1341,640.7704,646.2053,652.5891,660.1133,668.7925,678.6412,690.0432,703.3883,719.2192,738.7044,762.5738,792.7259,830.9648,880.0366,943.4635,1027.223,1143.922,1319.148,1550.92,1910.958,2457.627
NaCl_IDE_3-5,176.5845,350.8401,470.2872,552.2831,594.6496,613.799,622.5776,627.3995,631.3455,635.5109,640.022,645.3508,651.6811,659.0266,667.5325,677.2834,688.4528,701.4844,716.7348,735.4893,758.3879,787.3495,824.5368,872.5573,934.1682,1015.831,1130.593,1303.787,1533.898,1858.498,2419.663
NaCl_IDE_4-1,189.9952,369.4248,499.8497,590.9662,639.7195,662.5545,673.2341,679.5143,685.2135,691.0466,697.9464,706.1986,716.4785,729.7222,746.3546,766.98,791.6075,820.7665,854.819,895.968,944.9644,1003.103,1072.487,1156.943,1262.881,1397.51,1567.958,1826.972,2178.552,2675.513,3422.542
NaCl_IDE_4-2,189.891,369.3612,499.787,590.8637,639.6307,662.4487,673.1607,679.5209,685.0789,690.9289,697.7466,705.6362,715.6078,727.9427,743.4467,762.3038,784.6666,810.5889,840.3622,876.1029,919.0704,971.1937,1034.623,1113.326,1213.844,1340.618,1508.37,1764.238,2109.479,2592.651,3325.708
NaCl_IDE_4-3,189.9889,369.6305,501.0478,593.1173,642.6235,665.8441,676.8716,683.1608,688.5549,694.2615,700.6656,708.4703,717.9925,729.8458,744.4441,762.2113,783.2933,807.5613,835.5016,868.9933,909.0985,958.1486,1018.636,1094.527,1190.756,1314.175,1469.662,1720.988,2062.208,2536.994,3259.021
NaCl_IDE_4-4,189.9696,369.5535,500.7619,592.5659,641.7908,664.8533,675.699,682.0128,687.3585,693.0392,699.2854,706.8287,715.9709,727.4077,741.6563,758.7751,779.2349,802.6684,829.134,860.8792,898.9186,945.4551,1003.588,1076.53,1169.42,1289.603,1439.816,1684.81,2028.396,2504.754,3135.337
NaCl_IDE_4-5,189.9876,369.4738,500.2394,591.623,640.5333,663.4968,674.0018,680.1305,685.3293,690.9049,697.0883,704.4063,713.417,724.5861,738.4998,755.3391,775.09,797.5486,823.0082,853.4758,889.6906,934.2596,989.8051,1060.756,1152.267,1270.255,1432.309,1659.792,1993.96,2452.709,3146.676
